Pos;2011;2010;Title;Director;Year;Country;Mins;Genre;Colour;Amazon;IMDB;Google
1;1;1;Citizen Kane;Welles, Orson;1941;US;119;Drama;BW;Amazon;IMDB;Goog
2;2;2;Vertigo;Hitchcock, Alfred;1958;US;128;Thriller-Drama-Mystery;Col;Amazon;IMDB;Goog
3;3;3;Rules of the Game, The;Renoir, Jean;1939;France;113;Drama-Comedy;BW;Amazon;IMDB;Goog
4;4;4;2001: A Space Odyssey;Kubrick, Stanley;1968;UK;139;Science Fiction;Col;Amazon;IMDB;Goog
5;5;6;Godfather, The;Coppola, Francis;1972;US;175;Drama-Crime;Col;Amazon;IMDB;Goog
6;6;5;8½;Fellini, Federico;1963;Italy;135;Drama;BW;Amazon;IMDB;Goog
7;7;8;Seven Samurai, The;Kurosawa, Akira;1954;Japan;200;Drama-Action-Historical;BW;Amazon;IMDB;Goog
8;8;7;Searchers, The;Ford, John;1956;US;119;Western;Col;Amazon;IMDB;Goog
9;9;9;Singin' in the Rain;Donen, Stanley/Gene Kelly;1952;US;102;Musical-Dance-Comedy;Col;Amazon;IMDB;Goog
10;10;10;Battleship Potemkin;Eisenstein, Sergei;1925;Russia;65;War-Historical;BW;Amazon;IMDB;Goog
11;11;11;Tokyo Story;Ozu, Yasujiro;1953;Japan;134;Drama;BW;Amazon;IMDB;Goog
12;12;12;Sunrise;Murnau, F.W.;1927;US;110;Romance-Drama-Crime;BW;Amazon;IMDB;Goog
13;13;13;Lawrence of Arabia;Lean, David;1962;UK;216;War-Biography-Adventure;Col;Amazon;IMDB;Goog
14;14;14;Bicycle Thieves;De Sica, Vittorio;1948;Italy;90;Drama;BW;Amazon;IMDB;Goog
15;15;15;Godfather Part II, The;Coppola, Francis;1974;US;200;Drama-Crime;Col;Amazon;IMDB;Goog
16;16;17;Casablanca;Curtiz, Michael;1942;US;102;War-Romance-Drama;BW;Amazon;IMDB;Goog
17;17;16;Atalante, L';Vigo, Jean;1934;France;89;Romance-Drama;BW;Amazon;IMDB;Goog
18;19;19;Raging Bull;Scorsese, Martin;1980;US;128;Sports-Drama-Biography;BW;Amazon;IMDB;Goog
19;18;18;Rashomon;Kurosawa, Akira;1950;Japan;88;Drama-Crime;BW;Amazon;IMDB;Goog
20;20;20;Passion of Joan of Arc, The;Dreyer, Carl;1928;France;77;Historical-Drama;BW;Amazon;IMDB;Goog
21;21;21;Touch of Evil;Welles, Orson;1958;US;108;Thriller-Crime;BW;Amazon;IMDB;Goog
22;26;26;Taxi Driver;Scorsese, Martin;1976;US;113;Drama;Col;Amazon;IMDB;Goog
23;23;22;Some Like it Hot;Wilder, Billy;1959;US;119;Romance-Crime-Comedy;BW;Amazon;IMDB;Goog
24;25;23;Dolce vita, La;Fellini, Federico;1960;Italy;175;Drama;BW;Amazon;IMDB;Goog
25;22;24;Grande illusion, La;Renoir, Jean;1937;France;117;Prison-Drama-War;BW;Amazon;IMDB;Goog
26;24;25;City Lights;Chaplin, Charles;1931;US;86;Romance-Comedy;BW;Amazon;IMDB;Goog
27;29;30;Third Man, The;Reed, Carol;1949;UK;104;Thriller-Mystery;BW;Amazon;IMDB;Goog
28;27;35;Apocalypse Now;Coppola, Francis;1979;US;150;War-Drama-Adventure;Col;Amazon;IMDB;Goog
29;33;33;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Kubrick, Stanley;1964;UK;93;War-Comedy;BW;Amazon;IMDB;Goog
30;32;28;Psycho [1960];Hitchcock, Alfred;1960;US;109;Thriller-Horror;BW;Amazon;IMDB;Goog
31;28;27;General, The [1926];Keaton, Buster/Clyde Bruckman;1926;US;74;Comedy-Adventure;BW;Amazon;IMDB;Goog
32;30;34;Breathless [1959];Godard, Jean-Luc;1959;France;89;Romance-Drama-Crime;BW;Amazon;IMDB;Goog
33;35;32;Gold Rush, The;Chaplin, Charles;1925;US;82;Comedy-Adventure-Family;BW;Amazon;IMDB;Goog
34;31;31;Sunset Blvd.;Wilder, Billy;1950;US;110;Drama;BW;Amazon;IMDB;Goog
35;36;41;400 Blows, The;Truffaut, François;1959;France;99;Drama;BW;Amazon;IMDB;Goog
